INFO:root:Generation 0, Best fitness: 1, Individual: 1
INFO:root:Generation 0, Best fitness: 8, Individual: 1111111101
INFO:root:Generation 0, Best fitness: 10, Individual: 1111011101
INFO:root:Generation 0, Best fitness: 8, Individual: 0011011101
INFO:root:Generation 0, Best fitness: 7, Individual: 1101100100
INFO:root:Generation 0, Best fitness: 3, Individual: 111
INFO:root:Generation 0, Best fitness: 3, Individual: 111
INFO:root:Generation 0, Best fitness: 8, Individual: 1101111110
INFO:root:Generation 1, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 2, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 3, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111110
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 1, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 8, Individual: 1111101011
INFO:root:Generation 1, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 1, Best fitness: 9, Individual: 1111101111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111110
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 1, Best fitness: 9, Individual: 1111110111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111110
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 1, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111110
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 1, Best fitness: 9, Individual: 1111111011
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 8, Individual: 1111011011
INFO:root:Generation 1, Best fitness: 9, Individual: 1011111111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 1111111101
INFO:root:Generation 1, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 9, Individual: 0111111111
INFO:root:Generation 1, Best fitness: 9, Individual: 0111111111
INFO:root:Generation 2, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 5, Individual: 0110100011
INFO:root:Generation 2, Best fitness: 7, Individual: 1111011100
INFO:root:Generation 3, Best fitness: 8, Individual: 1111011101
INFO:root:Generation 4, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 5, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 6, Best fitness: 9, Individual: 1111011111
INFO:root:Generation 7, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 6, Individual: 1010101101
INFO:root:Generation 2, Best fitness: 7, Individual: 1101001111
INFO:root:Generation 3, Best fitness: 8, Individual: 1111001111
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 1111101100
INFO:root:Generation 2, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 3, Best fitness: 9, Individual: 1110111111
INFO:root:Generation 4, Best fitness: 10, Individual: 1111111111
INFO:root:Generation 0, Best fitness: 0, Individual: None
INFO:root:Generation 1, Best fitness: 7, Individual: 1101111100
INFO:root:Generation 2, Best fitness: 8, Individual: 1101111011
INFO:root:Generation 3, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 4, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 5, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 6, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 7, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 8, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 9, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 10, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 11, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 12, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 13, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 14, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 15, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 16, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 17, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 18, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 19, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 20, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 21, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 22, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 23, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 24, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 25, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 26, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 27, Best fitness: 9, Individual: 1101111111
INFO:root:Generation 28, Best fitness: 9, Individual: 1101111111
